Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
33835974	2018-11-25	United Kingdom		United Kingdom	Consult	040	1	European Union	Regional Diplomatic IGOs,Regional,International Government Organization		48615089	3	The Washington Post				United Kingdom	51.5085	-0.12574
33835975	2018-11-25	European Union	Regional Diplomatic IGOs,Regional,International Government Organization		Consult	040	1	United Kingdom		United Kingdom	48615089	3	The Washington Post				United Kingdom	51.5085	-0.12574
33832859	2018-11-27	United States		United States	Employ aerial weapons	195	-10	Islamic State of Iraq and the Levant	Muslim,Sunni,Ideological,International Religious,Fundamentalist,Dissident,Insurgents	Iraq	48610159	4	The Jerusalem Post	Sinjar		Muhafazat Ninawa	Iraq	36.3209	41.8766
33832632	2018-11-27	Benjamin Netanyahu	Jews,Executive,Ideological,International Ethnic,Center Right,Government,Executive Office,Foreign Ministry,Elite,Parties,(National) Major Party	Israel	Make a visit	042	1.9	Oman		Oman	48610161	5	The Jerusalem Post				Oman	23.6133	58.5933
33832633	2018-11-27	Oman		Oman	Host a visit	043	2.8	Benjamin Netanyahu	Jews,Executive,Ideological,International Ethnic,Center Right,Government,Executive Office,Foreign Ministry,Elite,Parties,(National) Major Party	Israel	48610161	5	The Jerusalem Post				Oman	23.6133	58.5933
33832809	2018-11-27	Oversight Court (Israel)	Judicial,Government	Israel	Ease administrative sanctions	081	5	Citizen (Israel)	Social,General Population / Civilian / Social	Israel	48610165	1	The Jerusalem Post			Jerusalem District	Israel	31.75	35
33837464	2018-11-27	Russia		Russian Federation	Reject	120	-4	Israel		Israel	48610168	5	The Jerusalem Post	Moscow		Moskva	Russian Federation	55.7522	37.6156
33832810	2018-11-27	Police (Israel)	Government,Police	Israel	Arrest, detain, or charge with legal action	173	-5	Citizen (Palestinian Territory, Occupied)	General Population / Civilian / Social,Social	Occupied Palestinian Territory	48610170	1	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
33832816	2018-11-27	Israeli Defense Forces	Military,Government	Israel	fight with small arms and light weapons	193	-10	Citizen (Israel)	Social,General Population / Civilian / Social	Israel	48610171	6	The Jerusalem Post	Bethlehem		West Bank	Occupied Palestinian Territory	31.7049	35.2038
33832812	2018-11-27	Moshe Kahlon	Unicameral,Legislative / Parliamentary,Executive,Ideological,Center Right,Government,Finance / Economy / Commerce / Trade Ministry,Parties,(National) Major Party	Israel	Make statement	010	0	Miri Regev	Unicameral,Legislative / Parliamentary,Executive,Ideological,Center Right,Government,Women / Children / Social / Welfare / Development / Religion Ministry,Parties,(National) Major Party	Israel	48610172	3	The Jerusalem Post				Israel	31.779	35.2253
33837578	2018-11-27	Public Committee Against Torture in Israel	Human Rights IGOs,Nongovernmental Organization (International)		Make statement	010	0	Shin Bet	Intelligence Ministry,Government,Executive	Israel	48610174	5	The Jerusalem Post				Israel	31.779	35.2253
33832818	2018-11-27	Benjamin Netanyahu	Jews,Executive,Ideological,International Ethnic,Center Right,Government,Executive Office,Foreign Ministry,Elite,Parties,(National) Major Party	Israel	Demand	100	-5	United States		United States	48610175	2	The Jerusalem Post				United States	38.8951	-77.0364
33833530	2018-11-27	National Congress Party	Muslim,Ideological,International Religious,Parties,Far Right,Fundamentalist,(National) Major Party	Sudan	Make statement	010	0	Sudan		Sudan	48610176	5	The Jerusalem Post	Jerusalem		Jerusalem District	Israel	31.769	35.2163
